unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,metric,first_year,last_year,n_years,first_value,last_value,absolute_change,percent_change,average_annual_change,slope,intercept,r_squared,p_value,std_error
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.506925208,0.516129032,0.009203825,0.018156178,0.001022647,0.000764841,-1.055004316,0.019642519,0.699369406,0.001910381
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,8.255989049,7.912831241,-0.343157807,-0.041564712,-0.038128645,-0.013839309,36.73569537,0.002325762,0.89475031,0.101340067
127060,University of Denver,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,7.726685134,7.399641577,-0.327043557,-0.042326502,-0.036338173,0.006022355,-4.621178236,0.006111474,0.830031471,0.027152961
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,365,334,-31,-0.084931507,-3.444444444,-3.684848485,7790.236364,0.833477633,0.000225917,0.582323013
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.578082192,0.535928144,-0.042154048,-0.07292051,-0.004683783,-0.006043752,12.75699049,0.450438169,0.0336117,0.002360219
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.156164384,0.206586826,0.050422443,0.322880555,0.005602494,0.006667744,-13.28400235,0.74894759,0.001216217,0.001364867
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.265753425,0.25748503,-0.008268395,-0.031113032,-0.000918711,-0.000623992,1.527011861,0.024113379,0.668387568,0.001403474
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.257534247,0.251497006,-0.006037241,-0.023442477,-0.000670805,-0.000881255,2.034741192,0.131210162,0.30366173,0.000801734
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.323287671,0.305389222,-0.01789845,-0.055363849,-0.001988717,-0.002325656,5.010703833,0.164162306,0.245419111,0.001855345
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.153424658,0.185628743,0.032204085,0.209901625,0.003578232,0.003830902,-7.572456885,0.616735399,0.007105745,0.001067717
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.734246575,0.74251497,0.008268395,0.01126106,0.000918711,0.000623992,-0.527011861,0.024113379,0.668387568,0.001403474
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.580821918,0.556886228,-0.02393569,-0.041210033,-0.002659521,-0.003206911,7.045445024,0.246722384,0.144167987,0.00198114
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,3.651741294,4.619623656,0.967882362,0.265046805,0.107542485,0.110405838,-218.8046685,0.693041666,0.0027993,0.025978082
129525,University of Hartford,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,12.9369863,12.13373253,-0.803253766,-0.062089713,-0.089250418,-0.150365982,316.048615,0.388642599,0.054131764,0.066677144
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,787,799,12,0.015247776,1.333333333,1.781818182,-2779.163636,0.066344294,0.472473882,2.363251717
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.423125794,0.433041302,0.009915507,0.023433947,0.001101723,0.00092375,-1.441871772,0.151974098,0.265437565,0.000771488
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.113087675,0.132665832,0.019578158,0.173123708,0.002175351,0.000289597,-0.473424554,0.008216587,0.803334428,0.001124896
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.463786531,0.434292866,-0.029493665,-0.06359319,-0.003277074,-0.001213347,2.915296326,0.07004839,0.459920912,0.001563044
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.224904701,0.240300375,0.015395674,0.068454212,0.00171063,0.00162502,-3.05700663,0.389884536,0.053635791,0.000718707
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.199491741,0.200250313,0.000758572,0.003802524,8.42858E-05,0.00010462,-0.012161588,0.001672039,0.910701273,0.00090382
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.111817027,0.125156446,0.013339419,0.119296848,0.001482158,-0.000516292,1.153871892,0.026991953,0.650155167,0.001095953
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.536213469,0.565707134,0.029493665,0.055003589,0.003277074,0.001213347,-1.915296326,0.07004839,0.459920912,0.001563044
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.424396442,0.440550688,0.016154246,0.038064047,0.001794916,0.001729639,-3.069168218,0.313261074,0.092487918,0.000905426
131159,American University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,9.219589258,7.574483776,-1.645105482,-0.178435876,-0.182789498,-0.175611774,363.7355762,0.549705241,0.014119802,0.056194284
